Title,Director,Year at MIFF,MIFF Festival Director,Nationality,Runtime (mins),Language,IMDb Rating,Won?,,,,,,
Born To Be Mild,Andrew Oxley,2015,Michelle Carey,UK,15,English,7.2,0,,,,,,
The Exquisite Corpus,Peter Tscherkassky,2015,Michelle Carey,Austria,18,N/A,7,0,,,,,,
Face of Ukraine Casting Oksana Baiul,Kitty Green,2015,Michelle Carey,"Australia, Ukraine",8,"Ukrainian, Russian",6.8,0,,,,,,
I Thought I Told You To Shut Up,Charlie Tyrell,2015,Michelle Carey,Canada,13,English,7.9,0,,,,,,
"Kacey Mottet Klein, Birth of an Actor",Ursula Meier,2015,Michelle Carey,"Switzerland, France",14,French,6.8,0,,,,,,
Kirrendirri – Lost and Alone,Tom Hearn,2015,Michelle Carey,Australia,15,,,0,,,,,,
Let's Dance: Bowie Down Under,Rubika Shah,2015,Michelle Carey,"Australia, UK",11,English,6.1,0,,,,,,
Live Fast Draw Yung,"Stacey Lee, Anthony Mathile",2015,Michelle Carey,USA,16,English,7.2,0,,,,,,
"Nice House, The",Louise Turley,2015,Michelle Carey,Australia,22,English,,0,,,,,,
Object,Paulina Skibinska,2015,Michelle Carey,Poland,15,N/A,6.9,0,,,,,,
Oink,David White,2015,Michelle Carey,New Zealand,9,English,,0,,,,,,
A Portrait,Aristotelis Maragkos,2015,Michelle Carey,Greece,2,English,6.6,0,,,,,,
Seat 26d,Karolina Broback,2015,Michelle Carey,Sweden,14,Swedish,4.7,0,,,,,,
Skateboarding's First Wave,Don Burgess,2015,Michelle Carey,USA,22,English,7.4,0,,,,,,
SMUT HOUNDS,Sari Braithwaite,2015,Michelle Carey,Australia,9,English,6.6,0,,,,,,
Urban Exploration,Henry Thong,2015,Michelle Carey,Australia,7,English,,0,,,,,,
The Water and the Wall,Alice Fargier,2015,Michelle Carey,Switzerland ,25,French,,0,,,,,,
Fairy Tales,Rongfei Guo,2016,Michelle Carey,"China, USA",36,Chinese,,1,,,,,,
Bring Me The Head Of Tim Horton,"Guy Maddin, Evan Johnson, Galen Johnson",2016,Michelle Carey,Canada,30,English,7.5,0,,,,,,
1001 NIGHTS IN FAIRFIELD,Zanny Begg,2016,Michelle Carey,Australia,17,,,0,,,,,,
Batrachian's Ballad,Leonor Teles,2016,Michelle Carey,Portugal,11,Portuguese,6.8,0,,,,,,
The Diver,Esteban Arrangoiz,2016,Michelle Carey,Brazilian,16,Spanish,7.8,0,,,,,,
Dragstrip,"Daniel Claridge, Pacho Velez",2016,Michelle Carey,USA,4,English,,0,,,,,,
Kwassa Kwassa,"Tuan Andrew Nguyen, Bjørnstjerne Reuter Christiansen, Jakob Fenger, Rasmus Nielsen",2016,Michelle Carey,Denmark,17,French,7.8,0,,,,,,
A Man Returned,Mahdi Fleifel,2016,Michelle Carey,"UK, Denmark, Netherlands, Lebanon",30,Arabic,7.5,0,,,,,,
Mobilize,Caroline Monnet,2016,Michelle Carey,Canada,4,English,7.3,0,,,,,,
Olympic Nick: A Donutumentary,"Ian Tran, Rachel Morssink",2016,Michelle Carey,Australia,9,English,,0,,,,,,
Omnia,Amna Al Nowais,2016,Michelle Carey,United Arab Emirates,9,Arabic,,0,,,,,,
Roast Battle,Jason Reitman,2016,Michelle Carey,USA,14,English,6.8,0,,,,,,
The Sniper of Kobani,Reber Dosky,2016,Michelle Carey,"Netherlands, Syria",13,Kurdish,6.9,0,,,,,,
These C*cksucking Tears,Dan Taberski,2016,Michelle Carey,USA,15,English,7.3,0,,,,,,
The Rabbit Hunt,Patrick Bresnan,2017,Michelle Carey,USA,12,English,6.9,1,,,,,,
Montañas Ardientes Que Vomitan Fuego,"Helena Girón, Samuel M. Delgado",2017,Michelle Carey,Spain,14,,,0,,,,,,
Chinese Obama,Rongfei Guo,2017,Michelle Carey,"China, USA",9,English,,0,,,,,,
Connection,Zoe Garcia,2017,Michelle Carey,Cuba,18,,,0,,,,,,
Find Fix Finish,"Mila Zhluktenko, Sylvain Cruiziat",2017,Michelle Carey,Germany,20,English,7.8,0,,,,,,
Girls And Honey,Pieter-Jan De Pue,2017,Michelle Carey,"Belgium, Ukraine",9,Russian,8.2,0,,,,,,
A Life Together,Simon Direen,2017,Michelle Carey,Australia,13,English,8.1,0,,,,,,
Lightning Ridge: The Land Of Black Opals,Alena Lodkina,2017,Michelle Carey,Australia,21,,,0,,,,,,
La voz perdida,Marcelo Martinessi,2017,Michelle Carey,"Argentina, Cuba, Venezuela, Paraguay",12,Spanish,6.2,0,,,,,,
A River Twice,Audrey Lam,2017,Michelle Carey,Australia,14,,,0,,,,,,
Black Line,Francesca Scalisi,2018,Michelle Carey,Switzerland,11,Bengali,6.5,1,,,,,,
8th Continent,Yorgos Zois,2018,Michelle Carey,Greece,11,N/A,6.4,0,,,,,,
Cosmic Debris,Patrick Waldrop,2018,Michelle Carey,USA,14,English,9,0,,,,,,
Fire Mouth,Luciano Pérez Fernández,2018,Michelle Carey,Brazil,9,,,0,,,,,,
Hiatus,Vivian Otrovsky,2018,Michelle Carey,"USA, Brazil",6,Portuguese,,0,,,,,,
New Deep South: House of JXN,Rosie Haber,2018,Michelle Carey,USA,10,English,,0,,,,,,
The Hymns Of Muscovy,Dimitri Venkov,2018,Michelle Carey,Russia,14,,,0,,,,,,
I Have Sinned A Rapturous Sin,Maryam Tafakory,2018,Michelle Carey,"UK, Iran",8,,,0,,,,,,
IFO,Kevin Jerome Everson,2018,Michelle Carey,USA,10,English,,0,,,,,,
Obon,"Andre Hormann, Anna Samo",2018,Michelle Carey,Germany,15,Japanese,7.5,0,,,,,,
Silica,Pia Borg,2018,Michelle Carey,"Australia, UK",24,English,6.8,0,,,,,,
Symphony of a Sad Sea,Carlos Morales,2018,Michelle Carey,Mexico,11,Spanish,7,0,,,,,,
